country,director,genre,imdb_rating,imdb_url,title,url,year
Великобритания,Альфред Хичкок,,6.3,https://www.imdb.com/title/tt0021165/,,https://ru.wikipedia.org/wiki/%D0%A3%D0%B1%D0%B8%D0%B9%D1%81%D1%82%D0%B2%D0%BE!,1930
США,Джон Кромвелл,,6.1,https://www.imdb.com/title/tt0021483/,,"https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D0%BC_%D0%A1%D0%BE%D0%B9%D0%B5%D1%80_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1930)",1930
СССР,Александр Иванов,,,,,"https://ru.wikipedia.org/wiki/%D0%95%D1%81%D1%82%D1%8C,_%D0%BA%D0%B0%D0%BF%D0%B8%D1%82%D0%B0%D0%BD!",1930
СССР,Яков Протазанов,,7.4,https://www.imdb.com/title/tt0021268/,,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B0%D0%B7%D0%B4%D0%BD%D0%B8%D0%BA_%D1%81%D0%B2%D1%8F%D1%82%D0%BE%D0%B3%D0%BE_%D0%98%D0%BE%D1%80%D0%B3%D0%B5%D0%BD%D0%B0,1930
США,Норман Таурог,,6.3,https://www.imdb.com/title/tt0022397/,,https://ru.wikipedia.org/wiki/%D0%A1%D0%BA%D0%B8%D0%BF%D0%BF%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC),1931
США,Джеймс Уэйл,,7.4,https://www.imdb.com/title/tt0028249/,,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BB%D0%B0%D0%B2%D1%83%D1%87%D0%B8%D0%B9_%D1%82%D0%B5%D0%B0%D1%82%D1%80_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1936)",1936
СССР,,,4.7,https://www.imdb.com/title/tt0234153/,,"https://ru.wikipedia.org/wiki/%D0%9B%D1%83%D0%BD%D0%BD%D1%8B%D0%B9_%D0%BA%D0%B0%D0%BC%D0%B5%D0%BD%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1935)",1935
США,Фрэнк Таттл,,7.1,https://www.imdb.com/title/tt0020968/,,https://ru.wikipedia.org/wiki/%D0%95%D1%91_%D0%B1%D1%80%D0%B0%D1%87%D0%BD%D0%B0%D1%8F_%D0%BD%D0%BE%D1%87%D1%8C,1930
США,"Майкл Кёртис, [, 1, ]",,6.6,https://www.imdb.com/title/tt0026184/,,https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%BB%D0%BE_%D0%BE_%D0%BB%D1%8E%D0%B1%D0%BE%D0%BF%D1%8B%D1%82%D0%BD%D0%BE%D0%B9_%D0%BD%D0%BE%D0%B2%D0%BE%D0%B1%D1%80%D0%B0%D1%87%D0%BD%D0%BE%D0%B9,1935
США,Алан Крослэнд,,6.9,https://www.imdb.com/title/tt0024958/,,https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%BB%D0%BE_%D0%BE_%D0%B2%D0%BE%D1%8E%D1%89%D0%B5%D0%B9_%D1%81%D0%BE%D0%B1%D0%B0%D0%BA%D0%B5,1934
США,Роулэнд В. Ли,,6.2,https://www.imdb.com/title/tt0033076/,,https://ru.wikipedia.org/wiki/%D0%A1%D1%8B%D0%BD_%D0%9C%D0%BE%D0%BD%D1%82%D0%B5-%D0%9A%D1%80%D0%B8%D1%81%D1%82%D0%BE,1940
США,Арчи Майо,,6.5,https://www.imdb.com/title/tt0026185/,,https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%BB%D0%BE_%D0%BE_%D1%81%D1%87%D0%B0%D1%81%D1%82%D0%BB%D0%B8%D0%B2%D1%8B%D1%85_%D0%BD%D0%BE%D0%B6%D0%BA%D0%B0%D1%85,1935
СССР,Григорий Мелик-Авакян,,,,,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BB%D0%BE%D1%87%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1954)",1954
Российская империя,Владимир Гарлицкий,,,,,https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%B8%D0%BD%D0%B0%D0%B4%D1%86%D0%B0%D1%82%D1%8C_%D1%87%D1%91%D1%80%D0%BD%D1%8B%D1%85_%D0%BB%D0%B5%D0%B1%D0%B5%D0%B4%D0%B5%D0%B9,1916
СССР,Владимир Корш-Саблин,,6.2,https://www.imdb.com/title/tt0032812/,,"https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%8F_%D0%BB%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1940)",1940
Польша,Виктор Беганьский,,,,,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F_%D0%BF%D0%B0%D0%BD%D0%B0_%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%B8%D1%8F,1913
Германия,Файт Харлан,,5,https://www.imdb.com/title/tt0032653/,,"https://ru.wikipedia.org/wiki/%D0%95%D0%B2%D1%80%D0%B5%D0%B9_%D0%97%D1%8E%D1%81%D1%81_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1940)",1940
Италия,Лукино Висконти,,7.5,https://www.imdb.com/title/tt0035160/,,"https://ru.wikipedia.org/wiki/%D0%9E%D0%B4%D0%B5%D1%80%D0%B6%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1943)",1943
Франция,,,,,,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B3%D0%BE%D0%BD%D1%8F_%D0%B7%D0%B0_%D0%BA%D0%BE%D0%BB%D0%B5%D1%81%D0%BE%D0%BC,1911
Великобритания,Сай Рот,,2.6,https://www.imdb.com/title/tt0046977/,,https://ru.wikipedia.org/wiki/%D0%9E%D0%B3%D0%BD%D0%B5%D0%BD%D0%BD%D1%8B%D0%B5_%D0%B4%D0%B5%D0%B2%D1%8B_%D0%B8%D0%B7_%D0%B4%D0%B0%D0%BB%D1%91%D0%BA%D0%BE%D0%B3%D0%BE_%D0%BA%D0%BE%D1%81%D0%BC%D0%BE%D1%81%D0%B0,1956
Германия,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Robert Reinert, [вд], [, 1, ]",,7.6,https://www.imdb.com/title/tt0007547/,,https://ru.wikipedia.org/wiki/%D0%9F%D1%83%D1%82%D1%8C_%D1%81%D0%BC%D0%B5%D1%80%D1%82%D0%B8,1917
Османская империя,Фуат Узкынай,,8.2,https://www.imdb.com/title/tt0289081/,,https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D0%B7%D1%80%D1%83%D1%88%D0%B5%D0%BD%D0%B8%D0%B5_%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D0%BF%D0%B0%D0%BC%D1%8F%D1%82%D0%BD%D0%B8%D0%BA%D0%B0_%D0%B2_%D0%A1%D0%B0%D0%BD-%D0%A1%D1%82%D0%B5%D1%84%D0%B0%D0%BD%D0%BE,1914
США,Мак Сеннет,,6.2,https://www.imdb.com/title/tt0004707/,,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B5%D1%80%D0%B2%D0%B0%D0%BD%D0%BD%D1%8B%D0%B9_%D1%80%D0%BE%D0%BC%D0%B0%D0%BD_%D0%A2%D0%B8%D0%BB%D0%BB%D0%B8,1914
США,Чарли Чаплин,,6,https://www.imdb.com/title/tt0005489/,,https://ru.wikipedia.org/wiki/%D0%95%D0%B3%D0%BE_%D0%BD%D0%BE%D0%B2%D0%B0%D1%8F_%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0,1915
Франция,Макс Линдер,,5.4,https://www.imdb.com/title/tt0278120/,,https://ru.wikipedia.org/wiki/%D0%98%D0%B4%D0%B8%D0%BB%D0%BB%D0%B8%D1%8F_%D0%BD%D0%B0_%D1%84%D0%B5%D1%80%D0%BC%D0%B5,1912
Австро-Венгрия,Альфред Деэши,,9.3,https://www.imdb.com/title/tt0008528/,,https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D0%BE%D0%BD%D0%B5%D1%80_%D0%B4%D1%80%D0%B5%D0%B2%D0%BD%D0%BE%D1%81%D1%82%D0%B5%D0%B9,1918
Веймарская республика,Конрад Фейдт,,6.5,https://www.imdb.com/title/tt0010854/,,"https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%B7%D1%83%D0%BC%D0%B8%D0%B5_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1919)",1919
РСФСР,Александр Пантелеев,,5.8,https://www.imdb.com/title/tt0013393/,,"https://ru.wikipedia.org/wiki/%D0%A7%D1%83%D0%B4%D0%BE%D1%82%D0%B2%D0%BE%D1%80%D0%B5%D1%86_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1922)",1922
СССР,Николай Шпиковский,,,https://www.imdb.com/title/tt21447200/,,https://ru.wikipedia.org/wiki/%D0%A7%D0%B0%D1%88%D0%BA%D0%B0_%D1%87%D0%B0%D1%8F,1927
СССР,Александр Левшин,,,,,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%B5%D0%BF%D0%BE%D0%BB%D0%BE%D1%85_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1928)",1928
"Польша, [, 1, ]","Генрик Шаро, [, 2, ], 1",,,https://www.imdb.com/title/tt0924293/,,https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D0%BF%D0%B5%D1%80%D0%BD%D0%B8%D0%BA%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC),1925
СССР,Владимир Шмидтгоф,,,https://www.imdb.com/title/tt0265897/,,"https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%B5%D1%82%D1%8C%D1%8F_%D0%BC%D0%BE%D0%BB%D0%BE%D0%B4%D0%BE%D1%81%D1%82%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1928)",1928
США,Кларенс Баджер,,6.6,https://www.imdb.com/title/tt0019313/,,"https://ru.wikipedia.org/wiki/%D0%A0%D1%8B%D0%B6%D0%B0%D1%8F_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1928)",1928
США,Дункан Ренальдо,,,https://www.imdb.com/title/tt0017295/,,https://ru.wikipedia.org/wiki/%D0%9F%D1%83%D0%BD%D1%87%D0%B8%D0%BD%D0%B5%D0%BB%D0%BB%D0%BE,1926
Япония,Тэйноскэ Кинугаса,,7.1,https://www.imdb.com/title/tt0019043/,,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%B5%D0%BA%D1%80%D1%91%D1%81%D1%82%D0%BE%D0%BA_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1928)",1928
США,,,8.1,https://www.imdb.com/title/tt0011541/,,"https://ru.wikipedia.org/wiki/%D0%9E%D0%B4%D0%BD%D0%B0_%D0%BD%D0%B5%D0%B4%D0%B5%D0%BB%D1%8F_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1920)",1920
США,,,7.5,https://www.imdb.com/title/tt0015841/,,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%B2%D0%BE%D0%BA%D1%83%D1%80%D1%81%D0%BD%D0%B8%D0%BA_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1925)",1925
США,Уоллас Уорсли,,7.3,https://www.imdb.com/title/tt0011565/,,"https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%BA%D0%B0%D0%B7%D0%B0%D0%BD%D0%B8%D0%B5_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1920)",1920
Венгрия,,,,,,https://ru.wikipedia.org/wiki/%D0%98%D1%81%D0%BA%D0%B0%D1%82%D0%B5%D0%BB%D1%8C_%D0%B6%D0%B5%D0%BD%D1%81%D0%BA%D0%B8%D1%85_%D1%81%D0%B5%D1%80%D0%B4%D0%B5%D1%86,1922
США,,,7.6,https://www.imdb.com/title/tt0018051/,,"https://ru.wikipedia.org/wiki/%D0%9C%D0%BB%D0%B0%D0%B4%D1%88%D0%B8%D0%B9_%D0%B1%D1%80%D0%B0%D1%82_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1927)",1927
Италия,Габриеллино Д’Аннунцио,,5.4,https://www.imdb.com/title/tt0188089/,,https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%B0%D0%B1%D0%BB%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC),1921
США,,,6.9,https://www.imdb.com/title/tt0017765/,,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%B4%D0%B6_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1927)",1927
Веймарская республика,Рихард Освальд,,,https://www.imdb.com/title/tt0011373/,,https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D1%80%D1%84%D1%8E%D1%80%D1%81%D1%82%D0%B5%D0%BD%D0%B4%D0%B0%D0%BC%D0%BC_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC),1920
США,Виктор Флеминг,,6.8,https://www.imdb.com/title/tt0017119/,,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D0%BA%D0%B0%D0%BD_%D0%BD%D0%B0_%D0%BC%D1%83%D0%B6%D1%87%D0%B8%D0%BD%D1%83,1926
Великобритания,Альфред Хичкок,,5.8,https://www.imdb.com/title/tt0018876/,,"https://ru.wikipedia.org/wiki/%D0%96%D0%B5%D0%BD%D0%B0_%D1%84%D0%B5%D1%80%D0%BC%D0%B5%D1%80%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1928)",1928
США,,,7.1,https://www.imdb.com/title/tt0011071/,,https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%BA%D0%BB%D1%8E%D1%87%D1%91%D0%BD%D0%BD%D1%8B%D0%B9_%E2%84%96_13,1920
"Австрия, [, 1, ]",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Ганс Карл Бреслауэр, [вд], [, 1, ], 2",,6.3,https://www.imdb.com/title/tt0016392/,,https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%BE%D0%B4_%D0%B1%D0%B5%D0%B7_%D0%B5%D0%B2%D1%80%D0%B5%D0%B5%D0%B2,1924
СССР,Борис Барнет,,7.2,https://www.imdb.com/title/tt0018841/,,https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BC_%D0%BD%D0%B0_%D0%A2%D1%80%D1%83%D0%B1%D0%BD%D0%BE%D0%B9,1928
США,Уильям А. Сейтер,,6.3,https://www.imdb.com/title/tt0014978/,,https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D1%82%D0%B8_%D0%A5%D0%B5%D0%BB%D0%B5%D0%BD,1924
США,Тэд Вильде,,7.6,https://www.imdb.com/title/tt0019412/,,"https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D0%BD%D1%89%D0%B8%D0%BA_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1928)",1928
США,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Маршалл Нейлан, [вд]",,5.3,https://www.imdb.com/title/tt0020542/,,https://ru.wikipedia.org/wiki/%D0%92%D0%BB%D1%8E%D0%B1%D0%BB%D1%91%D0%BD%D0%BD%D1%8B%D0%B9_%D0%B1%D1%80%D0%BE%D0%B4%D1%8F%D0%B3%D0%B0,1929
